[2026-01-16 18:33:25] START Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0
[2026-01-16 18:33:47] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 1, questionedBirdSong: 7_Buchfink_1, questionedBird: Buchfink, answerPossibilities: answerPossibility1: Buntspecht, answerPossibility2: Buchfink, answerPossibility3: Blaumeise, answerPossibility4: Singdrossel, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForThisAnswer: 22,32
[2026-01-16 18:37:46] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 2, questionedBirdSong: 1_Amsel_2, questionedBird: Amsel, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Amsel, answerPossibility3: Rauchschwalbe, answerPossibility4: Buntspecht, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForThisAnswer: 2,13
[2026-01-16 18:37:50] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 3, questionedBirdSong: 9_Singdrossel_2, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Buntspecht, answerPossibility2: Rauchschwalbe, answerPossibility3: Singdrossel, answerPossibility4: Amsel, givenAnswer: Singdrossel, wasAnswerCorrect: True, timeNeededForThisAnswer: 3,05
[2026-01-16 18:37:55] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 4, questionedBirdSong: 6_Rauchschwalbe_2, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Singdrossel, answerPossibility3: Rauchschwalbe, answerPossibility4: Buntspecht, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForThisAnswer: 3,84
[2026-01-16 18:37:55] END Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, totalTimeNeeded: 15,73, amountOfQuestions: 4, correctAnswers: 1, incorrectAnswers: 3, successrate: 25,00, levelPassed: False
[2026-01-16 18:37:58] START Game: BirdQuiz, LevelButtonNumber: 2, Level: 2
[2026-01-16 18:38:06] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 1, questionedBirdSong: 8_Buntspecht_2, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Amsel, answerPossibility3: Rauchschwalbe, answerPossibility4: Buntspecht, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForThisAnswer: 8,03
[2026-01-16 18:38:09] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 2, questionedBirdSong: 9_Singdrossel_1, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Amsel, answerPossibility3: Singdrossel, answerPossibility4: Buntspecht, givenAnswer: Singdrossel, wasAnswerCorrect: True, timeNeededForThisAnswer: 1,75
[2026-01-16 18:38:13] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 3, questionedBirdSong: 6_Rauchschwalbe_2, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Buntspecht, answerPossibility2: Singdrossel, answerPossibility3: Rauchschwalbe, answerPossibility4: Amsel, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForThisAnswer: 4,06
[2026-01-16 18:38:16] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 4, questionedBirdSong: 1_Amsel_1, questionedBird: Amsel, answerPossibilities: answerPossibility1: Buntspecht, answerPossibility2: Singdrossel, answerPossibility3: Amsel, answerPossibility4: Rauchschwalbe, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForThisAnswer: 1,64
[2026-01-16 18:38:17] END Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, totalTimeNeeded: 18,70, amountOfQuestions: 4, correctAnswers: 1, incorrectAnswers: 3, successrate: 25,00, levelPassed: False
[2026-01-16 18:38:19] START Game: BirdQuiz, LevelButtonNumber: 2, Level: 2
[2026-01-16 18:38:23] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 1, questionedBirdSong: 1_Amsel_1, questionedBird: Amsel, answerPossibilities: answerPossibility1: Buntspecht, answerPossibility2: Singdrossel, answerPossibility3: Amsel, answerPossibility4: Rauchschwalbe, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForThisAnswer: 4,29
[2026-01-16 18:38:25] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 2, questionedBirdSong: 6_Rauchschwalbe_3, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Buntspecht, answerPossibility3: Singdrossel, answerPossibility4: Rauchschwalbe, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForThisAnswer: 1,21
[2026-01-16 18:38:28] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 3, questionedBirdSong: 8_Buntspecht_2, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Singdrossel, answerPossibility3: Rauchschwalbe, answerPossibility4: Buntspecht, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForThisAnswer: 2,46
[2026-01-16 18:38:30] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 4, questionedBirdSong: 9_Singdrossel_2, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Amsel, answerPossibility3: Buntspecht, answerPossibility4: Rauchschwalbe, givenAnswer: Rauchschwalbe, wasAnswerCorrect: False, timeNeededForThisAnswer: 1,24
[2026-01-16 18:38:31] END Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, totalTimeNeeded: 12,43, amountOfQuestions: 4, correctAnswers: 0, incorrectAnswers: 4, successrate: 0,00, levelPassed: False
[2026-01-16 18:38:48] START Game: BirdQuiz, LevelButtonNumber: 2, Level: 2
[2026-01-16 18:38:51] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 1, questionedBirdSong: 1_Amsel_1, questionedBird: Amsel, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Rauchschwalbe, answerPossibility3: Buntspecht, answerPossibility4: Amsel, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForThisAnswer: 2,74
[2026-01-16 18:38:57] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 2, questionedBirdSong: 9_Singdrossel_1, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Rauchschwalbe, answerPossibility3: Singdrossel, answerPossibility4: Buntspecht, givenAnswer: Rauchschwalbe, wasAnswerCorrect: False, timeNeededForThisAnswer: 4,84
[2026-01-16 18:39:05] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 3, questionedBirdSong: 8_Buntspecht_2, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Buntspecht, answerPossibility3: Rauchschwalbe, answerPossibility4: Singdrossel, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForThisAnswer: 6,96
[2026-01-16 18:39:07] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 4, questionedBirdSong: 6_Rauchschwalbe_3, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Buntspecht, answerPossibility3: Amsel, answerPossibility4: Singdrossel, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForThisAnswer: 1,43
[2026-01-16 18:39:08] END Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, totalTimeNeeded: 19,20, amountOfQuestions: 4, correctAnswers: 0, incorrectAnswers: 4, successrate: 0,00, levelPassed: False
[2026-01-16 18:39:21] START Game: BirdQuiz, LevelButtonNumber: 2, Level: 2
[2026-01-16 18:39:26] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 1, questionedBirdSong: 8_Buntspecht_3, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Amsel, answerPossibility3: Singdrossel, answerPossibility4: Buntspecht, givenAnswer: Buntspecht, wasAnswerCorrect: True, timeNeededForThisAnswer: 4,53
[2026-01-16 18:39:35] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 2, questionedBirdSong: 9_Singdrossel_2, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Rauchschwalbe, answerPossibility3: Buntspecht, answerPossibility4: Amsel, givenAnswer: Rauchschwalbe, wasAnswerCorrect: False, timeNeededForThisAnswer: 8,37
[2026-01-16 18:39:39] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 3, questionedBirdSong: 6_Rauchschwalbe_1, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Singdrossel, answerPossibility3: Amsel, answerPossibility4: Buntspecht, givenAnswer: Rauchschwalbe, wasAnswerCorrect: True, timeNeededForThisAnswer: 3,58
[2026-01-16 18:39:42] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 4, questionedBirdSong: 1_Amsel_2, questionedBird: Amsel, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Amsel, answerPossibility3: Singdrossel, answerPossibility4: Buntspecht, givenAnswer: Amsel, wasAnswerCorrect: True, timeNeededForThisAnswer: 1,84
[2026-01-16 18:39:43] END Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, totalTimeNeeded: 21,55, amountOfQuestions: 4, correctAnswers: 3, incorrectAnswers: 1, successrate: 75,00, levelPassed: True
[2026-01-16 18:40:21] START Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3
[2026-01-16 18:40:36] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 1, selectableBird1: Rauchschwalbe, selectableBird2: Kohlmeise, selectableBird3: Singdrossel, selectableBird4: Amsel, selectableBird5: Buntspecht, questionedBird: Buntspecht, givenAnswer: Kohlmeise, wasAnswerCorrect: False, timeNeededForTheQuestion: 14,95
[2026-01-16 18:40:51] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 2, selectableBird1: Rauchschwalbe, selectableBird2: Kohlmeise, selectableBird3: Buntspecht, selectableBird4: Singdrossel, selectableBird5: Amsel, questionedBird: Amsel, givenAnswer: Kohlmeise, wasAnswerCorrect: False, timeNeededForTheQuestion: 14,10
[2026-01-16 18:41:05] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 3, selectableBird1: Singdrossel, selectableBird2: Amsel, selectableBird3: Rauchschwalbe, selectableBird4: Buntspecht, selectableBird5: Kohlmeise, questionedBird: Kohlmeise, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForTheQuestion: 13,02
[2026-01-16 18:41:10] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 4, selectableBird1: Rauchschwalbe, selectableBird2: Kohlmeise, selectableBird3: Buntspecht, selectableBird4: Amsel, selectableBird5: Singdrossel, questionedBird: Singdrossel, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForTheQuestion: 4,22
[2026-01-16 18:41:14] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 5, selectableBird1: Kohlmeise, selectableBird2: Amsel, selectableBird3: Singdrossel, selectableBird4: Buntspecht, selectableBird5: Rauchschwalbe, questionedBird: Rauchschwalbe, givenAnswer: Rauchschwalbe, wasAnswerCorrect: True, timeNeededForTheQuestion: 2,40
[2026-01-16 18:41:15] END Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, TimeNeededForTheLevel: 53,72, amountOfQuestions: 5, richtigeAnswersCounter: 1, falseAnswersCounter: 4, successrate: 20,00, levelPassed: False
[2026-01-16 18:41:18] START Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3
[2026-01-16 18:41:29] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 1, selectableBird1: Rauchschwalbe, selectableBird2: Amsel, selectableBird3: Kohlmeise, selectableBird4: Singdrossel, selectableBird5: Buntspecht, questionedBird: Buntspecht, givenAnswer: Rauchschwalbe, wasAnswerCorrect: False, timeNeededForTheQuestion: 11,35
[2026-01-16 18:41:34] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 2, selectableBird1: Kohlmeise, selectableBird2: Amsel, selectableBird3: Rauchschwalbe, selectableBird4: Buntspecht, selectableBird5: Singdrossel, questionedBird: Singdrossel, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForTheQuestion: 4,30
[2026-01-16 18:41:41] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 3, selectableBird1: Kohlmeise, selectableBird2: Buntspecht, selectableBird3: Singdrossel, selectableBird4: Amsel, selectableBird5: Rauchschwalbe, questionedBird: Rauchschwalbe, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForTheQuestion: 5,68
[2026-01-16 18:41:45] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 4, selectableBird1: Amsel, selectableBird2: Buntspecht, selectableBird3: Singdrossel, selectableBird4: Rauchschwalbe, selectableBird5: Kohlmeise, questionedBird: Kohlmeise, givenAnswer: Rauchschwalbe, wasAnswerCorrect: False, timeNeededForTheQuestion: 2,60
[2026-01-16 18:41:52] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 5, selectableBird1: Buntspecht, selectableBird2: Rauchschwalbe, selectableBird3: Singdrossel, selectableBird4: Kohlmeise, selectableBird5: Amsel, questionedBird: Amsel, givenAnswer: Kohlmeise, wasAnswerCorrect: False, timeNeededForTheQuestion: 6,30
[2026-01-16 18:41:53] END Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, TimeNeededForTheLevel: 35,26, amountOfQuestions: 5, richtigeAnswersCounter: 0, falseAnswersCounter: 5, successrate: 0,00, levelPassed: False
[2026-01-16 18:42:07] START Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3
[2026-01-16 18:42:34] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 1, selectableBird1: Buntspecht, selectableBird2: Rauchschwalbe, selectableBird3: Amsel, selectableBird4: Kohlmeise, selectableBird5: Singdrossel, questionedBird: Singdrossel, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForTheQuestion: 26,55
[2026-01-16 18:42:50] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 2, selectableBird1: Buntspecht, selectableBird2: Singdrossel, selectableBird3: Kohlmeise, selectableBird4: Amsel, selectableBird5: Rauchschwalbe, questionedBird: Rauchschwalbe, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForTheQuestion: 15,45
[2026-01-16 18:43:00] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 3, selectableBird1: Singdrossel, selectableBird2: Rauchschwalbe, selectableBird3: Amsel, selectableBird4: Buntspecht, selectableBird5: Kohlmeise, questionedBird: Kohlmeise, givenAnswer: Kohlmeise, wasAnswerCorrect: True, timeNeededForTheQuestion: 8,52
[2026-01-16 18:43:24] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 4, selectableBird1: Buntspecht, selectableBird2: Kohlmeise, selectableBird3: Singdrossel, selectableBird4: Rauchschwalbe, selectableBird5: Amsel, questionedBird: Amsel, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForTheQuestion: 22,67
[2026-01-16 18:43:30] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 5, selectableBird1: Amsel, selectableBird2: Singdrossel, selectableBird3: Rauchschwalbe, selectableBird4: Kohlmeise, selectableBird5: Buntspecht, questionedBird: Buntspecht, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForTheQuestion: 5,86
[2026-01-16 18:43:31] END Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, TimeNeededForTheLevel: 84,07, amountOfQuestions: 5, richtigeAnswersCounter: 1, falseAnswersCounter: 4, successrate: 20,00, levelPassed: False
[2026-01-16 18:44:03] START Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3
[2026-01-16 18:44:10] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 1, selectableBird1: Kohlmeise, selectableBird2: Rauchschwalbe, selectableBird3: Amsel, selectableBird4: Buntspecht, selectableBird5: Singdrossel, questionedBird: Singdrossel, givenAnswer: Kohlmeise, wasAnswerCorrect: False, timeNeededForTheQuestion: 6,40
[2026-01-16 18:44:15] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 2, selectableBird1: Rauchschwalbe, selectableBird2: Kohlmeise, selectableBird3: Singdrossel, selectableBird4: Buntspecht, selectableBird5: Amsel, questionedBird: Amsel, givenAnswer: Amsel, wasAnswerCorrect: True, timeNeededForTheQuestion: 4,82
[2026-01-16 18:44:46] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 3, selectableBird1: Singdrossel, selectableBird2: Amsel, selectableBird3: Buntspecht, selectableBird4: Rauchschwalbe, selectableBird5: Kohlmeise, questionedBird: Kohlmeise, givenAnswer: Kohlmeise, wasAnswerCorrect: True, timeNeededForTheQuestion: 29,18
[2026-01-16 18:45:07] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 4, selectableBird1: Buntspecht, selectableBird2: Amsel, selectableBird3: Singdrossel, selectableBird4: Kohlmeise, selectableBird5: Rauchschwalbe, questionedBird: Rauchschwalbe, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForTheQuestion: 20,29
