[2026-01-15 16:16:42] START Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0
[2026-01-15 16:17:15] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 1, questionedBirdSong: 9_Singdrossel_2, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Spatz, answerPossibility2: Singdrossel, answerPossibility3: Eisvogel, answerPossibility4: Blaumeise, givenAnswer: Singdrossel, wasAnswerCorrect: True, timeNeededForThisAnswer: 32,95
[2026-01-15 16:19:06] START Game: Memory, LevelButtonNumber: 1, Level: 1
[2026-01-15 16:19:09] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 1, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 0, currentTimeFromStopWatch: 2,95, timeSinceTheLastPairWasFound: 2,95
[2026-01-15 16:19:12] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 2, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 1, currentTimeFromStopWatch: 5,92, timeSinceTheLastPairWasFound: 5,92
[2026-01-15 16:19:19] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 3, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 2, currentTimeFromStopWatch: 13,18, timeSinceTheLastPairWasFound: 13,18
[2026-01-15 16:19:23] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 4, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 3, currentTimeFromStopWatch: 17,31, timeSinceTheLastPairWasFound: 17,31
[2026-01-15 16:19:25] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 5, FoundPair: 1, Correct: True, movesSinceTheLastPairWasFound: 4, currentTimeFromStopWatch: 19,46, timeSinceTheLastPairWasFound: 19,46
[2026-01-15 16:19:30] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 6, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 0, currentTimeFromStopWatch: 23,90, timeSinceTheLastPairWasFound: 4,44
[2026-01-15 16:19:33] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 7, FoundPair: 2, Correct: True, movesSinceTheLastPairWasFound: 1, currentTimeFromStopWatch: 26,65, timeSinceTheLastPairWasFound: 7,19
[2026-01-15 16:19:34] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 8, FoundPair: 3, Correct: True, movesSinceTheLastPairWasFound: 0, currentTimeFromStopWatch: 28,39, timeSinceTheLastPairWasFound: 1,74
[2026-01-15 16:19:34] END Game: Memory, LevelButtonNumber: 1, Level: 1, CurrentMoveNumber: 8, TimeNeededForTheLevel: 28,39
[2026-01-15 16:20:04] START Game: BirdQuiz, LevelButtonNumber: 2, Level: 2
[2026-01-15 16:20:07] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 1, questionedBirdSong: 1_Amsel_1, questionedBird: Amsel, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Amsel, answerPossibility3: Buntspecht, answerPossibility4: Singdrossel, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForThisAnswer: 3,59
[2026-01-15 16:20:17] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 2, questionedBirdSong: 6_Rauchschwalbe_1, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Buntspecht, answerPossibility3: Rauchschwalbe, answerPossibility4: Singdrossel, givenAnswer: Rauchschwalbe, wasAnswerCorrect: True, timeNeededForThisAnswer: 8,55
[2026-01-15 16:20:21] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 3, questionedBirdSong: 8_Buntspecht_1, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Buntspecht, answerPossibility3: Amsel, answerPossibility4: Rauchschwalbe, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForThisAnswer: 3,83
[2026-01-15 16:20:31] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 4, questionedBirdSong: 9_Singdrossel_2, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Singdrossel, answerPossibility3: Buntspecht, answerPossibility4: Rauchschwalbe, givenAnswer: Rauchschwalbe, wasAnswerCorrect: False, timeNeededForThisAnswer: 8,55
[2026-01-15 16:20:32] END Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, totalTimeNeeded: 27,83, amountOfQuestions: 4, correctAnswers: 1, incorrectAnswers: 3, successrate: 25,00, levelPassed: False
[2026-01-15 16:20:36] START Game: BirdQuiz, LevelButtonNumber: 2, Level: 2
[2026-01-15 16:20:42] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 1, questionedBirdSong: 8_Buntspecht_2, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Rauchschwalbe, answerPossibility3: Buntspecht, answerPossibility4: Amsel, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForThisAnswer: 5,61
[2026-01-15 16:20:45] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 2, questionedBirdSong: 9_Singdrossel_1, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Buntspecht, answerPossibility3: Amsel, answerPossibility4: Rauchschwalbe, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForThisAnswer: 2,93
[2026-01-15 16:20:48] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 3, questionedBirdSong: 1_Amsel_2, questionedBird: Amsel, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Rauchschwalbe, answerPossibility3: Buntspecht, answerPossibility4: Amsel, givenAnswer: Amsel, wasAnswerCorrect: True, timeNeededForThisAnswer: 2,20
[2026-01-15 16:21:00] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 4, questionedBirdSong: 6_Rauchschwalbe_1, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Buntspecht, answerPossibility3: Singdrossel, answerPossibility4: Rauchschwalbe, givenAnswer: Rauchschwalbe, wasAnswerCorrect: True, timeNeededForThisAnswer: 10,63
[2026-01-15 16:21:01] END Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, totalTimeNeeded: 24,66, amountOfQuestions: 4, correctAnswers: 2, incorrectAnswers: 2, successrate: 50,00, levelPassed: False
[2026-01-15 16:21:03] START Game: BirdQuiz, LevelButtonNumber: 2, Level: 2
[2026-01-15 16:21:07] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 1, questionedBirdSong: 8_Buntspecht_1, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Rauchschwalbe, answerPossibility3: Amsel, answerPossibility4: Buntspecht, givenAnswer: Buntspecht, wasAnswerCorrect: True, timeNeededForThisAnswer: 4,30
[2026-01-15 16:21:12] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 2, questionedBirdSong: 9_Singdrossel_1, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Rauchschwalbe, answerPossibility3: Singdrossel, answerPossibility4: Buntspecht, givenAnswer: Rauchschwalbe, wasAnswerCorrect: False, timeNeededForThisAnswer: 3,51
[2026-01-15 16:21:18] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 3, questionedBirdSong: 6_Rauchschwalbe_3, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Buntspecht, answerPossibility2: Rauchschwalbe, answerPossibility3: Amsel, answerPossibility4: Singdrossel, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForThisAnswer: 5,45
[2026-01-15 16:21:21] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 4, questionedBirdSong: 1_Amsel_1, questionedBird: Amsel, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Buntspecht, answerPossibility3: Singdrossel, answerPossibility4: Rauchschwalbe, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForThisAnswer: 2,28
[2026-01-15 16:21:22] END Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, totalTimeNeeded: 18,83, amountOfQuestions: 4, correctAnswers: 1, incorrectAnswers: 3, successrate: 25,00, levelPassed: False
[2026-01-15 16:21:25] START Game: BirdQuiz, LevelButtonNumber: 2, Level: 2
[2026-01-15 16:21:31] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 1, questionedBirdSong: 9_Singdrossel_1, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Buntspecht, answerPossibility2: Singdrossel, answerPossibility3: Amsel, answerPossibility4: Rauchschwalbe, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForThisAnswer: 6,65
[2026-01-15 16:21:39] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 2, questionedBirdSong: 8_Buntspecht_3, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Singdrossel, answerPossibility3: Amsel, answerPossibility4: Buntspecht, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForThisAnswer: 7,07
[2026-01-15 16:21:44] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 3, questionedBirdSong: 1_Amsel_1, questionedBird: Amsel, answerPossibilities: answerPossibility1: Buntspecht, answerPossibility2: Amsel, answerPossibility3: Rauchschwalbe, answerPossibility4: Singdrossel, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForThisAnswer: 1,87
[2026-01-15 16:21:45] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 4, questionedBirdSong: 6_Rauchschwalbe_1, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Buntspecht, answerPossibility3: Amsel, answerPossibility4: Rauchschwalbe, givenAnswer: Rauchschwalbe, wasAnswerCorrect: True, timeNeededForThisAnswer: 0,00
[2026-01-15 16:21:46] END Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, totalTimeNeeded: 18,89, amountOfQuestions: 4, correctAnswers: 1, incorrectAnswers: 3, successrate: 25,00, levelPassed: False
[2026-01-15 16:22:12] START Game: BirdQuiz, LevelButtonNumber: 2, Level: 2
[2026-01-15 16:22:17] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 1, questionedBirdSong: 8_Buntspecht_3, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Singdrossel, answerPossibility3: Buntspecht, answerPossibility4: Amsel, givenAnswer: Buntspecht, wasAnswerCorrect: True, timeNeededForThisAnswer: 5,35
[2026-01-15 16:22:25] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 2, questionedBirdSong: 1_Amsel_1, questionedBird: Amsel, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Singdrossel, answerPossibility3: Rauchschwalbe, answerPossibility4: Buntspecht, givenAnswer: Amsel, wasAnswerCorrect: True, timeNeededForThisAnswer: 7,10
[2026-01-15 16:22:35] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 3, questionedBirdSong: 9_Singdrossel_1, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Buntspecht, answerPossibility3: Amsel, answerPossibility4: Rauchschwalbe, givenAnswer: Singdrossel, wasAnswerCorrect: True, timeNeededForThisAnswer: 9,25
[2026-01-15 16:22:40] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 4, questionedBirdSong: 6_Rauchschwalbe_3, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Buntspecht, answerPossibility3: Singdrossel, answerPossibility4: Amsel, givenAnswer: Rauchschwalbe, wasAnswerCorrect: True, timeNeededForThisAnswer: 3,82
[2026-01-15 16:22:40] END Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, totalTimeNeeded: 28,78, amountOfQuestions: 4, correctAnswers: 4, incorrectAnswers: 0, successrate: 100,00, levelPassed: True
[2026-01-15 16:22:56] START Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3
[2026-01-15 16:23:22] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 1, selectableBird1: Rauchschwalbe, selectableBird2: Singdrossel, selectableBird3: Kohlmeise, selectableBird4: Amsel, selectableBird5: Buntspecht, questionedBird: Buntspecht, givenAnswer: Buntspecht, wasAnswerCorrect: True, timeNeededForTheQuestion: 25,78
[2026-01-15 16:23:48] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 2, selectableBird1: Rauchschwalbe, selectableBird2: Buntspecht, selectableBird3: Amsel, selectableBird4: Kohlmeise, selectableBird5: Singdrossel, questionedBird: Singdrossel, givenAnswer: Kohlmeise, wasAnswerCorrect: False, timeNeededForTheQuestion: 24,62
[2026-01-15 16:23:52] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 3, selectableBird1: Buntspecht, selectableBird2: Kohlmeise, selectableBird3: Rauchschwalbe, selectableBird4: Singdrossel, selectableBird5: Amsel, questionedBird: Amsel, givenAnswer: Rauchschwalbe, wasAnswerCorrect: False, timeNeededForTheQuestion: 3,03
[2026-01-15 16:24:04] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 4, selectableBird1: Singdrossel, selectableBird2: Rauchschwalbe, selectableBird3: Buntspecht, selectableBird4: Amsel, selectableBird5: Kohlmeise, questionedBird: Kohlmeise, givenAnswer: Rauchschwalbe, wasAnswerCorrect: False, timeNeededForTheQuestion: 11,47
[2026-01-15 16:24:32] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 5, selectableBird1: Buntspecht, selectableBird2: Amsel, selectableBird3: Kohlmeise, selectableBird4: Singdrossel, selectableBird5: Rauchschwalbe, questionedBird: Rauchschwalbe, givenAnswer: Rauchschwalbe, wasAnswerCorrect: True, timeNeededForTheQuestion: 26,79
[2026-01-15 16:24:33] END Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, TimeNeededForTheLevel: 96,78, amountOfQuestions: 5, richtigeAnswersCounter: 2, falseAnswersCounter: 3, successrate: 40,00, levelPassed: False
[2026-01-15 16:24:35] START Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3
[2026-01-15 16:24:42] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 1, selectableBird1: Singdrossel, selectableBird2: Amsel, selectableBird3: Kohlmeise, selectableBird4: Buntspecht, selectableBird5: Rauchschwalbe, questionedBird: Rauchschwalbe, givenAnswer: Rauchschwalbe, wasAnswerCorrect: True, timeNeededForTheQuestion: 7,08
[2026-01-15 16:24:54] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 2, selectableBird1: Singdrossel, selectableBird2: Amsel, selectableBird3: Rauchschwalbe, selectableBird4: Buntspecht, selectableBird5: Kohlmeise, questionedBird: Kohlmeise, givenAnswer: Rauchschwalbe, wasAnswerCorrect: False, timeNeededForTheQuestion: 10,35
[2026-01-15 16:25:09] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 3, selectableBird1: Rauchschwalbe, selectableBird2: Kohlmeise, selectableBird3: Buntspecht, selectableBird4: Singdrossel, selectableBird5: Amsel, questionedBird: Amsel, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForTheQuestion: 14,52
[2026-01-15 16:25:19] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 4, selectableBird1: Buntspecht, selectableBird2: Amsel, selectableBird3: Kohlmeise, selectableBird4: Rauchschwalbe, selectableBird5: Singdrossel, questionedBird: Singdrossel, givenAnswer: Kohlmeise, wasAnswerCorrect: False, timeNeededForTheQuestion: 9,13
[2026-01-15 16:25:21] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 5, selectableBird1: Rauchschwalbe, selectableBird2: Singdrossel, selectableBird3: Amsel, selectableBird4: Kohlmeise, selectableBird5: Buntspecht, questionedBird: Buntspecht, givenAnswer: Field with no Bird was clicked, wasAnswerCorrect: False, timeNeededForTheQuestion: 0,28
[2026-01-15 16:25:22] END Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, TimeNeededForTheLevel: 46,45, amountOfQuestions: 5, richtigeAnswersCounter: 1, falseAnswersCounter: 4, successrate: 20,00, levelPassed: False
[2026-01-15 16:26:26] START Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3
[2026-01-15 16:26:34] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 1, selectableBird1: Amsel, selectableBird2: Rauchschwalbe, selectableBird3: Kohlmeise, selectableBird4: Singdrossel, selectableBird5: Buntspecht, questionedBird: Buntspecht, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForTheQuestion: 8,02
[2026-01-15 16:26:47] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 2, selectableBird1: Kohlmeise, selectableBird2: Singdrossel, selectableBird3: Buntspecht, selectableBird4: Rauchschwalbe, selectableBird5: Amsel, questionedBird: Amsel, givenAnswer: Amsel, wasAnswerCorrect: True, timeNeededForTheQuestion: 10,47
[2026-01-15 16:27:27] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 3, selectableBird1: Buntspecht, selectableBird2: Rauchschwalbe, selectableBird3: Amsel, selectableBird4: Singdrossel, selectableBird5: Kohlmeise, questionedBird: Kohlmeise, givenAnswer: Kohlmeise, wasAnswerCorrect: True, timeNeededForTheQuestion: 39,75
[2026-01-15 16:27:52] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 4, selectableBird1: Buntspecht, selectableBird2: Kohlmeise, selectableBird3: Rauchschwalbe, selectableBird4: Amsel, selectableBird5: Singdrossel, questionedBird: Singdrossel, givenAnswer: Rauchschwalbe, wasAnswerCorrect: False, timeNeededForTheQuestion: 23,31
[2026-01-15 16:27:58] Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, QuestionNumber: 5, selectableBird1: Amsel, selectableBird2: Singdrossel, selectableBird3: Buntspecht, selectableBird4: Kohlmeise, selectableBird5: Rauchschwalbe, questionedBird: Rauchschwalbe, givenAnswer: Rauchschwalbe, wasAnswerCorrect: True, timeNeededForTheQuestion: 5,31
[2026-01-15 16:27:59] END Game: Finde die Amsel, LevelButtonNumber: 3, Level: 3, TimeNeededForTheLevel: 91,96, amountOfQuestions: 5, richtigeAnswersCounter: 3, falseAnswersCounter: 2, successrate: 60,00, levelPassed: True
[2026-01-15 16:28:12] START Game: BirdChorOrder, LevelButtonNumber: 4, Level: 4
[2026-01-15 16:28:20] Game: BirdChorOrder, LevelButtonNumber: 4, Level: 4, QuestionNumber: 1, singingBird1: 2_Rotkehlchen_2, singingBird2: 8_Buntspecht_1, singingBird3: 9_Singdrossel_2, singingBird4: 1_Amsel_1, Bird1: Singdrossel wasCorrect: False, Bird2: Buntspecht wasCorrect: True, Bird3: Rotkehlchen wasCorrect: False, Bird4: Amsel wasCorrect: True, timeNeededForTheQuestion: 8,261216
[2026-01-15 16:29:03] Game: BirdChorOrder, LevelButtonNumber: 4, Level: 4, QuestionNumber: 2, singingBird1: 2_Rotkehlchen_3, singingBird2: 1_Amsel_2, singingBird3: 9_Singdrossel_1, singingBird4: 6_Rauchschwalbe_3, Bird1: Rotkehlchen wasCorrect: True, Bird2: Amsel wasCorrect: True, Bird3: Singdrossel wasCorrect: True, Bird4: Rauchschwalbe wasCorrect: True, timeNeededForTheQuestion: 41,72338
[2026-01-15 16:29:23] Game: BirdChorOrder, LevelButtonNumber: 4, Level: 4, QuestionNumber: 3, singingBird1: 6_Rauchschwalbe_1, singingBird2: 5_Kohlmeise_3, singingBird3: 1_Amsel_2, singingBird4: 9_Singdrossel_2, Bird1: Rauchschwalbe wasCorrect: True, Bird2: Kohlmeise wasCorrect: True, Bird3: Amsel wasCorrect: True, Bird4: Singdrossel wasCorrect: True, timeNeededForTheQuestion: 19,39204
[2026-01-15 16:29:43] Game: BirdChorOrder, LevelButtonNumber: 4, Level: 4, QuestionNumber: 4, singingBird1: 8_Buntspecht_2, singingBird2: 9_Singdrossel_1, singingBird3: 6_Rauchschwalbe_3, singingBird4: 2_Rotkehlchen_3, Bird1: Buntspecht wasCorrect: True, Bird2: Rauchschwalbe wasCorrect: False, Bird3: Singdrossel wasCorrect: False, Bird4: Rotkehlchen wasCorrect: True, timeNeededForTheQuestion: 19,33499
[2026-01-15 16:29:43] END Game: BirdChorOrder, LevelButtonNumber: 4, Level: 4, TimeNeededForTheLevel: 91,77766, AchievedPoints: 12, AchieveablePoints: 16, Successrate: 75,00, levelPassed: True
[2026-01-15 16:29:48] START Game: BirdChor - Syncron, LevelButtonNumber: 5, Level: level4
[2026-01-15 16:30:14] Game: BirdChor - Syncron, LevelButtonNumber: 5, Level: level4, QuestionNumber: 1, singingBird1: 6_Rauchschwalbe_3, singingBird2: 1_Amsel_2, answerPossibility1: Rauchschwalbe, answerPossibility2: Amsel, answerPossibility3: Buntspecht, answerPossibility4: Rotkehlchen, givenAnswer1: Rauchschwalbe wasCorrect: True, givenAnswer2: Amsel  wasCorrect: True, timeNeededForTheQuestion: 26,22
[2026-01-15 16:30:32] Game: BirdChor - Syncron, LevelButtonNumber: 5, Level: level4, QuestionNumber: 2, singingBird1: 9_Singdrossel_2, singingBird2: 2_Rotkehlchen_2, answerPossibility1: Rotkehlchen, answerPossibility2: Singdrossel, answerPossibility3: Amsel, answerPossibility4: Rauchschwalbe, givenAnswer1: Rotkehlchen wasCorrect: True, givenAnswer2: Singdrossel  wasCorrect: True, timeNeededForTheQuestion: 17,60
[2026-01-15 16:30:44] Game: BirdChor - Syncron, LevelButtonNumber: 5, Level: level4, QuestionNumber: 3, singingBird1: 6_Rauchschwalbe_2, singingBird2: 8_Buntspecht_1, answerPossibility1: Rotkehlchen, answerPossibility2: Kohlmeise, answerPossibility3: Buntspecht, answerPossibility4: Rauchschwalbe, givenAnswer1: Rotkehlchen wasCorrect: False, givenAnswer2: Rauchschwalbe  wasCorrect: True, timeNeededForTheQuestion: 10,72
[2026-01-15 16:30:59] Game: BirdChor - Syncron, LevelButtonNumber: 5, Level: level4, QuestionNumber: 4, singingBird1: 9_Singdrossel_1, singingBird2: 8_Buntspecht_1, answerPossibility1: Rauchschwalbe, answerPossibility2: Buntspecht, answerPossibility3: Rotkehlchen, answerPossibility4: Singdrossel, givenAnswer1: Buntspecht wasCorrect: True, givenAnswer2: Rotkehlchen  wasCorrect: False, timeNeededForTheQuestion: 14,25
[2026-01-15 16:30:59] END Game: BirdChor - Syncron, LevelButtonNumber: 5, Level: level4, TimeNeededForTheLevel: 71,85, AchievedPoints: 6, AchieveablePoints: 8, Successrate: 75,00, levelPassed: True
[2026-01-15 16:31:04] START Game: BirdQuiz, LevelButtonNumber: 6, Level: 4
